id,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients,Difficulty,Cooking_time,Servings,Cuisine,Calories,Protein,Carbs,Fat,Dietary_tags
14,Cauliflower Rice,"1 head cauliflower, 2 tbsp olive oil, 1 onion, 2 cloves garlic, salt, pepper, parsley","Grate cauliflower into rice-like pieces. Sauté onion and garlic. Add cauliflower and cook for 5-7 minutes. Season and garnish.","cauliflower-rice.jpg","cauliflower, olive oil, onion, garlic, salt, pepper, parsley","Easy",15,4,"American",80,3,8,5,"[""Vegetarian"", ""Vegan"", ""Gluten-Free"", ""Low-Carb""]"
15,Tofu Scramble,"14 oz tofu, 1 tbsp turmeric, 1 onion, 1 bell pepper, 2 tbsp nutritional yeast, 1 tbsp oil, salt, pepper","Crumble tofu. Sauté vegetables. Add tofu and turmeric. Cook for 10 minutes. Add nutritional yeast and season.","tofu-scramble.jpg","tofu, turmeric, onion, bell pepper, nutritional yeast, oil, salt, pepper","Easy",20,2,"American",180,15,8,12,"[""Vegan"", ""Gluten-Free""]"
16,Beef Tacos,"1 lb ground beef, 8 taco shells, 1 onion, 2 tomatoes, 1 cup lettuce, 1 cup cheese, 2 tbsp taco seasoning","Brown beef with onion and seasoning. Warm taco shells. Fill shells with beef and top with vegetables and cheese.","beef-tacos.jpg","ground beef, taco shells, onion, tomatoes, lettuce, cheese, taco seasoning","Easy",25,4,"Mexican",320,22,18,18,"[]"
17,Roasted Vegetables,"2 cups broccoli, 2 cups carrots, 1 bell pepper, 1 onion, 3 tbsp olive oil, 2 cloves garlic, herbs, salt, pepper","Chop vegetables and toss with oil and seasonings. Roast at 425°F for 25-30 minutes until tender and slightly crispy.","roasted-vegetables.jpg","broccoli, carrots, bell pepper, onion, olive oil, garlic, herbs, salt, pepper","Easy",35,4,"American",120,4,15,7,"[""Vegetarian"", ""Vegan"", ""Gluten-Free""]"
18,Lentil Curry,"1 cup lentils, 1 onion, 2 tomatoes, 2 tbsp curry powder, 1 can coconut milk, 3 cups water, 2 cloves garlic","Sauté onion and garlic. Add curry powder and cook for 1 minute. Add lentils, tomatoes, and water. Simmer for 30 minutes. Add coconut milk.","lentil-curry.jpg","lentils, onion, tomatoes, curry powder, coconut milk, water, garlic","Medium",45,4,"Indian",280,18,35,8,"[""Vegan"", ""Gluten-Free""]"
19,Greek Yogurt Parfait,"2 cups Greek yogurt, 1 cup granola, 1 cup mixed berries, 2 tbsp honey, mint for garnish","Layer yogurt, granola, and berries in glasses. Drizzle with honey and garnish with mint.","yogurt-parfait.jpg","greek yogurt, granola, mixed berries, honey, mint","Easy",10,2,"American",280,20,35,8,"[""Vegetarian""]"
20,Shrimp Scampi,"1 lb shrimp, 8 oz linguine, 4 cloves garlic, 1/2 cup white wine, 4 tbsp butter, 1 lemon, parsley, salt","Cook pasta. Sauté garlic in butter. Add shrimp and cook until pink. Add wine and lemon juice. Toss with pasta and parsley.","shrimp-scampi.jpg","shrimp, linguine, garlic, white wine, butter, lemon, parsley, salt","Medium",25,3,"Italian",380,32,45,12,"[]"
21,Vegetable Lasagna,"9 lasagna noodles, 2 cups marinara, 2 cups ricotta, 2 cups spinach, 1 zucchini, 1 cup mozzarella, 1/4 cup parmesan","Cook noodles. Layer noodles, sauce, ricotta, and vegetables. Repeat layers. Top with cheeses and bake at 375°F for 45 minutes.","vegetable-lasagna.jpg","lasagna noodles, marinara, ricotta, spinach, zucchini, mozzarella, parmesan","Medium",75,6,"Italian",320,18,35,14,"[""Vegetarian""]"
22,Chicken Salad,"2 cups chicken, 1/2 cup mayo, 1/4 cup celery, 1/4 cup grapes, 2 tbsp almonds, 1 tbsp lemon juice, salt, pepper","Mix all ingredients. Chill for 1 hour. Serve on bread or lettuce leaves.","chicken-salad.jpg","chicken, mayo, celery, grapes, almonds, lemon juice, salt, pepper","Easy",70,4,"American",280,25,8,16,"[""Gluten-Free""]"
23,Oatmeal Cookies,"2 cups oats, 1 cup flour, 1/2 cup butter, 1/2 cup sugar, 1 egg, 1 tsp cinnamon, 1/2 cup raisins, 1 tsp baking soda","Cream butter and sugar. Add egg. Mix dry ingredients and combine. Fold in raisins. Bake at 350°F for 12-15 minutes.","oatmeal-cookies.jpg","oats, flour, butter, sugar, egg, cinnamon, raisins, baking soda","Easy",30,24,"American",120,2,18,5,"[""Vegetarian""]"
24,Fish Tacos,"1 lb white fish, 8 corn tortillas, 2 cups cabbage, 1/4 cup cilantro, 1 lime, 1/4 cup sour cream, 1 avocado","Season and cook fish. Warm tortillas. Fill with fish, cabbage, and avocado. Top with cilantro-lime sauce.","fish-tacos.jpg","white fish, corn tortillas, cabbage, cilantro, lime, sour cream, avocado","Easy",20,4,"Mexican",260,22,20,12,"[""Gluten-Free""]"
25,Stuffed Bell Peppers,"4 bell peppers, 1 cup rice, 1 lb ground beef, 1 onion, 2 cups tomato sauce, 1 cup cheese, herbs","Cook rice and beef mixture. Cut peppers and remove seeds. Stuff with mixture. Top with sauce and cheese. Bake at 375°F for 30 minutes.","stuffed-peppers.jpg","bell peppers, rice, ground beef, onion, tomato sauce, cheese, herbs","Medium",60,4,"American",380,28,35,16,"[]"
26,Mushroom Risotto,"1 cup arborio rice, 4 cups broth, 2 cups mushrooms, 1 onion, 1/2 cup white wine, 1/4 cup parmesan, 3 tbsp butter","Sauté mushrooms and onion. Add rice and cook for 2 minutes. Add wine, then broth gradually. Stir until creamy. Add butter and cheese.","mushroom-risotto.jpg","arborio rice, broth, mushrooms, onion, white wine, parmesan, butter","Hard",45,3,"Italian",420,12,65,14,"[""Vegetarian""]"
27,Chicken Stir Fry,"1 lb chicken, 3 cups vegetables, 3 tbsp soy sauce, 2 cloves garlic, 1 tbsp ginger, 1 tbsp sesame oil, 2 tbsp oil","Cut chicken and stir-fry until cooked. Remove. Stir-fry vegetables. Return chicken, add sauce and cook for 2 minutes.","chicken-stir-fry.jpg","chicken, vegetables, soy sauce, garlic, ginger, sesame oil, oil","Easy",25,4,"Asian",280,30,12,14,"[""Gluten-Free""]"
28,Caprese Salad,"4 tomatoes, 8 oz mozzarella, 1/4 cup basil, 3 tbsp olive oil, 2 tbsp balsamic, salt, pepper","Slice tomatoes and mozzarella. Arrange alternately on plate. Top with basil. Drizzle with oil and balsamic. Season.","caprese-salad.jpg","tomatoes, mozzarella, basil, olive oil, balsamic, salt, pepper","Easy",10,2,"Italian",220,14,8,16,"[""Vegetarian"", ""Gluten-Free""]"
29,Vegetable Curry,"2 cups mixed vegetables, 1 onion, 2 tbsp curry paste, 1 can coconut milk, 1 tbsp oil, 1 tbsp lime juice","Sauté onion and curry paste. Add vegetables and cook for 5 minutes. Add coconut milk and simmer for 15 minutes. Add lime juice.","vegetable-curry.jpg","mixed vegetables, onion, curry paste, coconut milk, oil, lime juice","Medium",30,4,"Thai",240,6,20,16,"[""Vegan"", ""Gluten-Free""]"
30,Banana Smoothie,"2 bananas, 1 cup milk, 1/2 cup yogurt, 1 tbsp honey, 1/2 tsp vanilla, ice cubes","Blend all ingredients until smooth. Serve immediately.","banana-smoothie.jpg","bananas, milk, yogurt, honey, vanilla, ice cubes","Easy",5,2,"American",280,10,45,6,"[""Vegetarian""]"
